uf,cod_meso,mesorregiao,cod_micro,microrregiao,cod_ibge,name,pop,area,faixa_cep,lat,lon
Rondônia,1102,Leste Rondoniense,1106,Cacoal,1100015,Alta Floresta D'Oeste,25728,7067.025,76954-000 a 76955-999,-11.9355403043823,-61.99982389629361
Rondônia,1102,Leste Rondoniense,1103,Ariquemes,1100023,Ariquemes,101269,4426.571,76870-001 a 76879-999,-9.90846286624693,-63.0332692780484
Rondônia,1102,Leste Rondoniense,1108,Colorado do Oeste,1100031,Cabixi,6495,1314.353,76994-000 a 76994-999,-13.4997634592674,-60.5443135812009
Rondônia,1102,Leste Rondoniense,1106,Cacoal,1100049,Cacoal,85863,3792.948,76960-001 a 76969-999,-11.433865028318,-61.4429442118224
Rondônia,1102,Leste Rondoniense,1108,Colorado do Oeste,1100056,Cerejeiras,18041,2783.3,76997-000 a 76998-999,-13.19503303162,-60.8184261646815
Rondônia,1102,Leste Rondoniense,1108,Colorado do Oeste,1100064,Colorado do Oeste,19190,1451.061,76993-000 a 76993-999,-13.1305638410373,-60.5550674630789
Rondônia,1102,Leste Rondoniense,1108,Colorado do Oeste,1100072,Corumbiara,9036,3060.321,76995-000 a 76996-999,-12.9975202360694,-60.9487011706614
Rondônia,1101,Madeira-Guaporé,1102,Guajará-Mirim,1100080,Costa Marques,15853,4987.177,76937-000 a 76939-999,-12.4360138773168,-64.23165393911719
Rondônia,1102,Leste Rondoniense,1106,Cacoal,1100098,Espigão D'Oeste,31699,4518.034,76974-000 a 76975-999,-11.5285546329773,-61.0201731132847
Rondônia,1101,Madeira-Guaporé,1102,Guajará-Mirim,1100106,Guajará-Mirim,45761,24855.724,76850-000 a 76856-999,-10.7738837403235,-65.3239518196923
Rondônia,1102,Leste Rondoniense,1104,Ji-Paraná,1100114,Jaru,55597,2944.128,76890-000 a 76897-999,-10.4359487675478,-62.4762307081317
Rondônia,1102,Leste Rondoniense,1104,Ji-Paraná,1100122,Ji-Paraná,128026,6896.648,76900-001 a 76915-999,-10.8820513179987,-61.94509458268411
Rondônia,1102,Leste Rondoniense,1103,Ariquemes,1100130,Machadinho D'Oeste,35633,8509.27,76868-000 a 76869-999,-9.42556247969476,-61.9995925724466
Rondônia,1102,Leste Rondoniense,1105,Alvorada D'Oeste,1100148,Nova Brasilândia D'Oeste,21427,1703.008,76958-000 a 76959-999,-11.72132541348,-62.30823016301899
Rondônia,1102,Leste Rondoniense,1104,Ji-Paraná,1100155,Ouro Preto do Oeste,40099,1969.85,76920-000 a 76922-999,-10.7235739004681,-62.2610551904363
Rondônia,1102,Leste Rondoniense,1107,Vilhena,1100189,Pimenta Bueno,36939,6240.932,76970-000 a 76973-999,-11.6775369896255,-61.183665673642
Rondônia,1101,Madeira-Guaporé,1101,Porto Velho,1100205,Porto Velho,484992,34090.926,76800-001 a 76849-999,-8.768891789715321,-63.8314456543611
Rondônia,1102,Leste Rondoniense,1104,Ji-Paraná,1100254,Presidente Médici,23017,1758.465,76916-000 a 76918-999,-11.1732050158676,-61.90943868352979
Rondônia,1102,Leste Rondoniense,1103,Ariquemes,1100262,Rio Crespo,3666,1717.64,76863-000 a 76863-999,-9.70553670942552,-62.9000103659589
Rondônia,1102,Leste Rondoniense,1106,Cacoal,1100288,Rolim de Moura,55357,1457.888,76940-000 a 76947-999,-11.7222589130049,-61.7857809351854
Rondônia,1102,Leste Rondoniense,1106,Cacoal,1100296,Santa Luzia D'Oeste,8887,1197.796,76950-000 a 76951-999,-11.9084233320875,-61.7733054630545
Rondônia,1102,Leste Rondoniense,1107,Vilhena,1100304,Vilhena,87727,11699.265,76980-000 a 76989-999,-12.7413734713965,-60.1385838660987
Rondônia,1102,Leste Rondoniense,1105,Alvorada D'Oeste,1100320,São Miguel do Guaporé,23668,7460.219,76932-000 a 76933-999,-11.6994897434308,-62.7200634814364
Rondônia,1101,Madeira-Guaporé,1101,Porto Velho,1100338,Nova Mamoré,26227,10071.643,76857-000 a 76859-999,-10.4117712943643,-65.3291490231467
Rondônia,1102,Leste Rondoniense,1105,Alvorada D'Oeste,1100346,Alvorada D'Oeste,17399,3029.189,76930-000 a 76931-999,-11.344130023069,-62.2772748656972
Rondônia,1102,Leste Rondoniense,1106,Cacoal,1100379,Alto Alegre dos Parecis,13827,3958.273,76952-000 a 76953-999,-12.1317772241827,-61.853077168603
Rondônia,1102,Leste Rondoniense,1103,Ariquemes,1100403,Alto Paraíso,19459,2651.822,76862-000 a 76862-999,-9.71666673776296,-63.3176294334976
Rondônia,1101,Madeira-Guaporé,1101,Porto Velho,1100452,Buritis,36555,3265.809,76880-000 a 76886-999,-10.209805406906,-63.82967879175651
Rondônia,1102,Leste Rondoniense,1106,Cacoal,1100502,Novo Horizonte do Oeste,10515,843.446,76956-000 a 76957-999,-11.7097429196397,-61.9943876627606
Rondônia,1102,Leste Rondoniense,1103,Ariquemes,1100601,Cacaulândia,6268,1961.778,76889-000 a 76889-999,-10.3388728390592,-62.9031899345687
Rondônia,1101,Madeira-Guaporé,1101,Porto Velho,1100700,Campo Novo de Rondônia,13939,3442.005,76887-000 a 76887-999,-10.5684164690079,-63.6249914265426
Rondônia,1101,Madeira-Guaporé,1101,Porto Velho,1100809,Candeias do Jamari,22973,6843.868,76860-000 a 76860-999,-8.78502070319229,-63.70002007182979
Rondônia,1102,Leste Rondoniense,1106,Cacoal,1100908,Castanheiras,3689,892.842,76948-000 a 76949-999,-11.4268422250956,-61.9491611964662
Rondônia,1102,Leste Rondoniense,1107,Vilhena,1100924,Chupinguaia,9636,5126.723,76990-000 a 76992-999,-12.5568407606929,-60.9018477499554
